timestamp,app_name
2025-11-13T21:52:57.600957,Google Chrome - Games | LinkedIn
2025-11-13T21:52:58.774809,Google Chrome - (6) Games | LinkedIn
2025-11-13T21:52:59.944534,Google Chrome
2025-11-13T21:53:01.083442,Google Chrome - Zip | LinkedIn
2025-11-13T21:53:04.594884,Google Chrome - Games | LinkedIn
2025-11-13T21:53:05.601027,Code
2025-11-13T21:55:11.381035,Google Chrome - (439) YouTube
2025-11-13T21:55:12.515808,Google Chrome - FocusPulse
2025-11-13T21:55:24.100786,Code
2025-11-13T21:58:51.227729,Google Chrome - FocusPulse
2025-11-13T21:58:53.563468,Google Chrome - New Tab
2025-11-13T21:58:54.740969,Google Chrome - talwiinder - Google Search
2025-11-13T21:58:58.307909,Google Chrome - New Tab
2025-11-13T21:58:59.462733,Google Chrome - FocusPulse
2025-11-13T21:59:00.607964,Google Chrome - Google Search
2025-11-13T21:59:01.758362,Google Chrome - talwiinder - Google Search
2025-11-13T21:59:34.649683,Google Chrome - talwiinder wife - Google Search
2025-11-13T21:59:52.078702,Google Chrome
2025-11-13T21:59:53.246857,Google Chrome - Beautiful Punjabi Wedding Moments with Talwinder and Harjas | Jasmeet Dhaliwal | TikTok
2025-11-13T22:00:00.201592,Google Chrome - talwiinder wife - Google Search
2025-11-13T22:00:07.153729,Google Chrome - talwiinder controversy - Google Search
2025-11-13T22:00:15.338917,Google Chrome - Instagram
2025-11-13T22:00:23.507857,Google Chrome - talwiinder controversy - Google Search
2025-11-13T22:00:45.835775,Google Chrome - talwiinder in usa - Google Search
2025-11-13T22:00:48.136149,"Google Chrome - Talwiinder Tour Announcements 2025 & 2026, Notifications, Dates, Concerts & Tickets – Songkick"
2025-11-13T22:00:58.674540,Google Chrome - talwiinder in usa - Google Search
2025-11-13T22:00:59.819294,Google Chrome - FocusPulse
2025-11-13T22:01:03.204397,Code
2025-11-13T22:03:45.170613,Google Chrome - FocusPulse
2025-11-13T22:03:46.334557,Google Chrome - Streamlit
2025-11-13T22:03:47.522354,Google Chrome - FocusPulse
2025-11-13T22:04:00.418830,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T22:04:01.591333,Google Chrome - FocusPulse
2025-11-13T22:04:06.237779,Google Chrome - (439) YouTube
2025-11-13T22:04:07.396485,Google Chrome - Streamlit
2025-11-13T22:04:08.533408,Google Chrome - FocusPulse
2025-11-13T22:04:16.416075,Code
2025-11-13T22:04:40.707728,Google Chrome - FocusPulse
2025-11-13T22:04:48.794729,Code
2025-11-13T22:05:11.061389,Google Chrome - New Tab
2025-11-13T22:05:12.238607,Google Chrome
2025-11-13T22:05:13.404151,Google Chrome - siddhi-bansal (Siddhi Bansal)
2025-11-13T22:08:22.569181,loginwindow
2025-11-13T22:20:14.983383,Google Chrome - siddhi-bansal (Siddhi Bansal)
2025-11-13T22:20:40.695864,Code
2025-11-13T22:23:48.666434,Google Chrome - siddhi-bansal (Siddhi Bansal)
2025-11-13T22:23:54.457648,Google Chrome - why is my sofa so itchy - Google Search
2025-11-13T22:24:17.782315,Google Chrome - Gmail
2025-11-13T22:24:18.929667,"Google Chrome - Inbox (9,848) - siddhibansal2604@gmail.com - Gmail"
2025-11-13T22:24:23.576594,Google Chrome - Search results - siddhibansal2604@gmail.com - Gmail
2025-11-13T22:24:31.898380,"Google Chrome - Completed: Review and sign documents for 301 Mission Street, 17B, San Francisco, CA 94105 - siddhibansal2604@gmail.com - Gmail"
2025-11-13T22:24:55.494767,Google Chrome - New Tab
2025-11-13T22:24:56.662710,Google Chrome - History
2025-11-13T22:25:06.053305,"Google Chrome - Completed: Review and sign documents for 301 Mission Street, 17B, San Francisco, CA 94105 - siddhibansal2604@gmail.com - Gmail"
2025-11-13T22:25:54.146965,Google Chrome - New Tab
2025-11-13T22:25:58.872871,Google Chrome - b&b italia couch - Google Search
2025-11-13T22:26:01.217653,Google Chrome - b&b italia couch broqn - Google Search
2025-11-13T22:26:15.317645,Google Chrome - b&b italia couch dark brown is very itchy - Google Search
2025-11-13T22:26:43.540209,"Google Chrome - What should I do, when I sat down on my sofa I start having nonstop itch and have really bad allergic reaction? I loved this sofa but since December last year couldn’t sit on it. It was brand new, soft and very comfortable. And dining chair. - Quora"
2025-11-13T22:26:50.534382,Google Chrome - New Tab
2025-11-13T22:26:51.684254,Google Chrome
2025-11-13T22:26:52.842628,Google Chrome - sofa thin cover - Google Search
2025-11-13T22:27:03.411762,Google Chrome - Amazon.com : lightweight sofa covers
2025-11-13T22:27:13.944461,Google Chrome - New Tab
2025-11-13T22:27:24.461529,Google Chrome
2025-11-13T22:27:25.623935,Google Chrome - i think my b&b italia sofa catches lint and hair in it - Google Search
2025-11-13T22:27:43.206874,Google Chrome - Amazon.com : lightweight sofa covers
2025-11-13T22:27:49.054955,Google Chrome - Amazon.com : Fuzz Balls
2025-11-13T22:28:04.269657,Google Chrome - Amazon.com : lint remover
2025-11-13T22:28:20.691359,Google Chrome - i think my b&b italia sofa catches lint and hair in it - Google Search
2025-11-13T22:28:23.042634,"Google Chrome - What should I do, when I sat down on my sofa I start having nonstop itch and have really bad allergic reaction? I loved this sofa but since December last year couldn’t sit on it. It was brand new, soft and very comfortable. And dining chair. - Quora"
2025-11-13T22:28:25.225483,Code
